NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;No;62.0647;1.0138;61.2198;29.6568;2287;1855.4376;89017;54066;1.9723;226;30;20;1317;970;1408;980;74303;46773;21232;37278
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;--;;;0.0000;0.0000;89;0.0000;9306;43;0.6369;20;3;0;62;27;58;1;9226;37;464;478
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;Si;;;100.7570;33.5856;24;6342.0982;3918;614;1.1025;27;4;5;16;8;24;10;2617;467;49;88
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;--;;;0.0000;0.0000;92;0.0000;9473;49;0.6359;20;3;0;65;27;59;1;9392;43;495;514
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;Si;;;100.7570;37.7839;27;6745.1265;4114;706;0.9063;33;4;6;19;8;21;9;2762;548;54;102
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;No;64.8969;1.04523;62.0886;31.4204;2423;1888.4919;89760;55872;2.0033;245;31;20;1407;1016;1453;1017;74916;48383;23840;40580
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;No;66.6147;1.07379;62.0368;31.7705;2450;1893.9512;89846;56207;2.0093;228;36;18;1400;1050;1444;1041;74981;48693;23890;41495
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;--;;;0.0000;0.0000;93;0.0000;9502;50;0.6129;19;2;0;65;28;57;1;9420;43;496;525
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;Si;;;103.5558;41.9821;30;6614.9820;4105;622;1.0223;34;4;8;21;9;23;10;2741;487;55;104
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;Si;;;106.3546;43.3815;31;6796.9045;4228;629;1.0272;36;3;10;22;9;24;10;2823;487;56;102
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;No;68.8994;1.1037;62.4258;32.3021;2491;1890.2684;89434;56335;2.0206;221;37;14;1384;1107;1398;1096;74566;48860;24052;42547
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;--;;;0.0000;0.0000;82;0.0000;9515;53;0.4959;21;2;0;54;28;46;1;9432;45;496;529
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;--;;;0.0000;0.0000;78;0.0000;9315;52;0.4961;21;4;0;51;27;45;1;9226;46;481;540
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;Si;;;138.5409;54.5767;39;6770.3158;4160;678;1.3158;35;4;10;30;9;32;10;2700;492;59;113
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;No;70.5049;1.12638;62.5944;32.8468;2533;1825.7030;86611;54179;2.1167;214;39;20;1384;1149;1392;1129;72041;47061;25047;45541
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;No;69.8269;1.10729;63.0612;32.4837;2505;1811.4905;85258;54436;2.1289;222;36;20;1338;1167;1356;1156;70700;47294;25928;45821
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;--;;;0.0000;0.0000;73;0.0000;8968;62;0.4810;23;5;0;48;25;42;1;8885;55;490;557
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;Si;;;162.3308;62.9731;45;6794.1057;4096;759;1.4628;41;3;10;34;11;36;11;2672;541;69;143
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;78;0.0000;8756;59;0.5044;22;4;0;51;27;43;1;8674;50;515;578
